epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.337,1.89406,4.57215,1.57607,0.05259,0.12562,0.08648,0.05507,1.55972,4.34563,1.21471,8.44255e-05,8.44255e-05,8.44255e-05
2,735.265,1.60881,2.76081,1.21764,0.57404,0.19644,0.149,0.09334,1.50048,2.04149,1.20215,0.000166398,0.000166398,0.000166398
3,1082.75,1.49445,2.0109,1.19082,0.62395,0.24341,0.17032,0.10485,1.48774,1.83452,1.22255,0.000244991,0.000244991,0.000244991
4,1417.76,1.47208,1.76123,1.19348,0.73191,0.25538,0.2325,0.13371,1.49634,1.58554,1.20936,0.000240794,0.000240794,0.000240794
5,1741.75,1.4143,1.61431,1.17774,0.73876,0.29843,0.29621,0.17251,1.39749,1.41201,1.17826,0.000235725,0.000235725,0.000235725
6,2049.11,1.37565,1.48044,1.16055,0.83997,0.30938,0.35118,0.19169,1.52694,1.28207,1.21588,0.000230656,0.000230656,0.000230656
7,2392.4,1.35357,1.37503,1.15746,0.75363,0.36658,0.40289,0.22258,1.4817,1.16706,1.20912,0.000225587,0.000225587,0.000225587
8,2745.41,1.33334,1.2822,1.14637,0.767,0.37682,0.43671,0.23711,1.50286,1.10411,1.22202,0.000220518,0.000220518,0.000220518
9,3033.54,1.34379,1.22167,1.14918,0.67744,0.40418,0.46565,0.26615,1.38745,1.02782,1.17974,0.00021545,0.00021545,0.00021545
10,3354.16,1.31605,1.16993,1.13995,0.67228,0.44554,0.47115,0.26288,1.4573,0.99839,1.19838,0.000210381,0.000210381,0.000210381
11,3869.74,1.27452,1.12552,1.13576,0.68348,0.46494,0.49155,0.29737,1.29746,0.94469,1.13172,0.000205312,0.000205312,0.000205312
12,4180.23,1.27192,1.09566,1.12674,0.64884,0.47525,0.51277,0.30993,1.28711,0.92488,1.12492,0.000200243,0.000200243,0.000200243
13,4490.47,1.24148,1.07381,1.10573,0.66644,0.48995,0.51656,0.31022,1.31004,0.9002,1.12611,0.000195174,0.000195174,0.000195174
14,4809.46,1.2284,1.03977,1.10349,0.70018,0.5173,0.54043,0.33357,1.24102,0.87725,1.10135,0.000190106,0.000190106,0.000190106
15,5102.84,1.21303,1.03951,1.11097,0.67022,0.51947,0.54805,0.33828,1.25047,0.86503,1.10673,0.000185037,0.000185037,0.000185037
16,5420.44,1.20893,1.0013,1.10135,0.64553,0.54311,0.57002,0.33802,1.3466,0.86282,1.14135,0.000179968,0.000179968,0.000179968
17,5732.73,1.19434,0.99406,1.10252,0.55175,0.59039,0.57607,0.34422,1.30952,0.84271,1.10864,0.000174899,0.000174899,0.000174899
18,6050.45,1.1804,0.95827,1.08727,0.62581,0.58367,0.58441,0.36778,1.20782,0.80951,1.08076,0.00016983,0.00016983,0.00016983
19,6343.89,1.165,0.94036,1.07629,0.61223,0.60055,0.58796,0.36624,1.23533,0.81645,1.09769,0.000164762,0.000164762,0.000164762
20,6639.02,1.15181,0.92937,1.07406,0.66162,0.59517,0.60045,0.37129,1.2341,0.80309,1.09179,0.000159693,0.000159693,0.000159693
21,6954.56,1.13558,0.90596,1.07267,0.65342,0.58429,0.61004,0.38087,1.25132,0.7971,1.10092,0.000154624,0.000154624,0.000154624
22,7274.07,1.12424,0.89841,1.06713,0.65425,0.59931,0.60843,0.3817,1.21935,0.78444,1.08031,0.000149555,0.000149555,0.000149555
23,7590.81,1.12128,0.88609,1.06082,0.69748,0.59375,0.61902,0.40079,1.15455,0.75642,1.06353,0.000144486,0.000144486,0.000144486
24,7887.63,1.10409,0.86799,1.06298,0.65005,0.63431,0.63089,0.40841,1.15782,0.74897,1.06306,0.000139418,0.000139418,0.000139418
25,8200.07,1.10503,0.86441,1.0621,0.64662,0.66048,0.63376,0.40959,1.15475,0.74205,1.06115,0.000134349,0.000134349,0.000134349
26,8521.39,1.09228,0.8511,1.05353,0.66072,0.66426,0.63858,0.40928,1.18032,0.74048,1.06661,0.00012928,0.00012928,0.00012928
27,8822.66,1.07034,0.8477,1.05141,0.65737,0.67133,0.64888,0.41635,1.18018,0.73527,1.06922,0.000124211,0.000124211,0.000124211
28,9142.75,1.06867,0.83309,1.04203,0.68946,0.64973,0.65672,0.43055,1.135,0.7145,1.04757,0.000119142,0.000119142,0.000119142
29,9439.8,1.06524,0.82,1.05053,0.63287,0.67281,0.65568,0.42353,1.15699,0.7325,1.06026,0.000114074,0.000114074,0.000114074
30,9742.32,1.0557,0.81881,1.0387,0.67188,0.67963,0.66257,0.43516,1.12303,0.70665,1.04906,0.000109005,0.000109005,0.000109005
31,10036.2,1.04185,0.80282,1.03808,0.6687,0.68771,0.67135,0.43194,1.19936,0.71526,1.07241,0.000103936,0.000103936,0.000103936
32,10355.8,1.03834,0.80323,1.04112,0.69142,0.67424,0.67076,0.4218,1.2229,0.71566,1.07638,9.88672e-05,9.88672e-05,9.88672e-05
33,10676.4,1.03761,0.80501,1.03368,0.66381,0.68165,0.67313,0.44728,1.11332,0.6919,1.0424,9.37984e-05,9.37984e-05,9.37984e-05
34,10976.8,1.017,0.79248,1.03063,0.70478,0.68755,0.67941,0.44406,1.15086,0.69309,1.0554,8.87296e-05,8.87296e-05,8.87296e-05
35,11300.3,1.01677,0.79042,1.0297,0.66252,0.67794,0.67448,0.45427,1.0964,0.68211,1.03972,8.36608e-05,8.36608e-05,8.36608e-05
36,11614.8,1.02626,0.78577,1.0339,0.67249,0.67867,0.69118,0.45387,1.15708,0.68826,1.06008,7.8592e-05,7.8592e-05,7.8592e-05
37,11936.6,0.99894,0.77624,1.01976,0.7054,0.68947,0.69306,0.45757,1.12232,0.67465,1.04185,7.35232e-05,7.35232e-05,7.35232e-05
38,12264.6,1.00024,0.77035,1.01653,0.72187,0.66966,0.68867,0.46255,1.08864,0.67236,1.03236,6.84544e-05,6.84544e-05,6.84544e-05
39,12570.1,0.99604,0.77015,1.01931,0.71634,0.69145,0.67944,0.45125,1.12712,0.67823,1.04555,6.33856e-05,6.33856e-05,6.33856e-05
40,12873.6,0.98828,0.76263,1.01773,0.71679,0.67723,0.6931,0.46644,1.08528,0.66615,1.02767,5.83168e-05,5.83168e-05,5.83168e-05
41,13125.6,1.0345,0.73941,1.06806,0.70646,0.66733,0.70021,0.4643,1.10859,0.67397,1.032,5.3248e-05,5.3248e-05,5.3248e-05
42,13357.8,1.00295,0.71183,1.04923,0.72893,0.66127,0.70661,0.46908,1.10793,0.6659,1.03712,4.81792e-05,4.81792e-05,4.81792e-05
43,13684.9,0.9808,0.70535,1.03755,0.72393,0.68534,0.70671,0.47709,1.06593,0.65477,1.02139,4.31104e-05,4.31104e-05,4.31104e-05
44,14017.7,0.96839,0.6986,1.03208,0.70931,0.68345,0.71043,0.47304,1.10991,0.66162,1.03625,3.80416e-05,3.80416e-05,3.80416e-05
45,14257.5,0.96498,0.69385,1.02812,0.71301,0.68002,0.70679,0.47465,1.10024,0.65498,1.03375,3.29728e-05,3.29728e-05,3.29728e-05
46,14479.9,0.96035,0.68893,1.02661,0.71127,0.6851,0.70789,0.47549,1.08753,0.6522,1.02747,2.7904e-05,2.7904e-05,2.7904e-05
47,14807.3,0.94323,0.68336,1.01894,0.7341,0.66471,0.70998,0.48029,1.06664,0.64648,1.02016,2.28352e-05,2.28352e-05,2.28352e-05
48,15037.9,0.93471,0.6778,1.01735,0.70972,0.67649,0.70934,0.47895,1.08069,0.64961,1.02682,1.77664e-05,1.77664e-05,1.77664e-05
49,15366.3,0.92937,0.6798,1.01174,0.70844,0.67693,0.71526,0.48237,1.07491,0.64502,1.02252,1.26976e-05,1.26976e-05,1.26976e-05
50,15617.6,0.93033,0.67576,1.0164,0.72532,0.6669,0.71682,0.48451,1.07371,0.64408,1.02306,7.6288e-06,7.6288e-06,7.6288e-06
